item,label,site,geo,inscription
Q106675322,BAHAN/2 (Ogham Stone Concept by CISP),Q85394010,POINT(-8.608333 51.838611),CORBAGNI 
Q106675323,BAHAN/3 (Ogham Stone Concept by CISP),Q85394010,POINT(-8.608333 51.838611),SACATTI 
Q106675324,BAHAN/4 (Ogham Stone Concept by CISP),Q85394010,POINT(-8.608333 51.838611),ABULCCAGNI
Q106675326,BAHAN/5 (Ogham Stone Concept by CISP),Q85394010,POINT(-8.608333 51.838611),MAQIESE 
Q106675328,BAHAN/6 (Ogham Stone Concept by CISP),Q85394010,POINT(-8.608333 51.838611),DILOGONN
Q106675329,BAKNK/1 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),MAILAGUROMAQ[I][--]VILEB[--
Q106675330,BAKNK/10 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),BLATEGSI
Q106675331,BAKNK/11 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),ACTOMAQI 
Q106675332,BAKNK/12 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),ERCAIDANA
Q106675333,BAKNK/13 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),DOMMOMACIVEDUCERI
Q106675334,BAKNK/14 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),ANMMEDDOGENI
Q106675335,BAKNK/15 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),COVALOTI
Q106675336,BAKNK/2 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),LAMADILICCIMACMAI 
Q106675337,BAKNK/3 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),ERACOBIMAQIERAQETAI
Q106675338,BAKNK/4 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),GRILAGNIMAQISCILAGNI
Q106675339,BAKNK/5 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),CLIUCOANA 
Q106675340,BAKNK/6 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),DRUTIQULIMAQIMAQIRODAGNI
Q106675341,BAKNK/7 (Ogham Stone Concept by CISP),Q85394270,POINT(-8.071111 52.026944),BRANANMAQIOQOLI
