wd|geo|site|country|county|insc
Q70892829|51.8480556,-10.11361111111111|Q85395550|Q27|Q184469|TIDONN[A] MAQ DOMNGINN
Q70892834|52.0311111,-10.029166666666667|Q85395582|Q27|Q184469|MAQI R[.....
Q70892835|51.9133333,-10.175833333333333|Q85395618|Q27|Q184469|ANM MOLEGOMRID MACI VECUMEN
Q70892837|51.8433333,-10.301944444444445|Q85395551|Q27|Q184469|...]OTANI M[A]QI LOSAGNI
Q70892842|51.8433333,-10.301944444444445|Q85395551|Q27|Q184469|n/a
Q70892844|51.9233333,-10.220833333333333|Q85395585|Q27|Q184469|......]QNETN[.....
Q70892846|52.0136111,-10.025277777777779|Q85396891|Q27|Q184469|ANM GATTEGLAN
Q70892848|51.9708333,-10.05888888888889|Q85396810|Q27|Q184469|MOCURRUTI MAQI VLISACESUCMIR
Q70892851|52.0861111,-9.67361111111111|Q85396894|Q27|Q184469|B[AID]AGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR***MN[I]DAGNIESSICONIDDALA AMIT BAIDAGNI
Q70892852|52.0777778,-9.558333333333334|Q85396972|Q27|Q184469|BRRUANANN
Q85411211|52.0777778,-9.558333333333334|Q85396972|Q27|Q184469|n/a
Q70892854|52.1288889,-9.631666666666668|Q85396812|Q27|Q184469|MAQI-RITTE MAQI COLABOT MAQI MOCO QERAI
Q70892857|52.1288889,-9.631666666666668|Q85396812|Q27|Q184469|COILLABBOTAS MAQI CORBBI MAQI MOCOI QERAI
Q70892859|52.1288889,-9.631666666666668|Q85396812|Q27|Q184469|VŊGOLAM
Q70892864|52.1288889,-9.631666666666668|Q85396812|Q27|Q184469|CORBAGNI MAQI BIVITI
Q85410004|52.1655556,-9.73361111111111|Q85396815|Q27|Q184469|...]V MAQI[...
Q85410013|52.1655556,-9.73361111111111|Q85396815|Q27|Q184469|[LMCBDV]
Q70892869|52.1477780,-9.6627780|Q85396974|Q27|Q184469|COVTET
Q70892870|52.1425,-9.43888888888889|Q85396897|Q27|Q184469|...QET[IA?]S M[A?]Q TRENIL[U?...]
Q70892873|52.1619444,-9.687777777777779|Q85396931|Q27|Q184469|UN[...]CC
Q70892889|52.1658333,-9.771944444444445|Q85396820|Q27|Q184469|CATTUVVIRR MAQI RITUVVECAS MUCOI ALLATO
Q70892894|52.1916667,-9.5325|Q85396823|Q27|Q184469|VELITAS LUGUTTI
Q70892895|52.2266667,-9.581944444444444|Q85396933|Q27|Q184469|DUMELI MAQI GLASICONAS NIOTTA COBRANOR[IGAS]
Q70892897|52.2336111,-9.540833333333333|Q85396826|Q27|Q184469|GALEOTOS
Q70892906|52.2336111,-9.540833333333333|Q85396936|Q27|Q184469|MAQI RECTA
