item,label,desc,geo,logainm,osm
Q85395517,Ballyeightragh (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.323333 52.160556),22647,6201257
Q85395518,Ballynahunt (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.029722 52.1875),22443,6148930
Q85395519,Ballywiheen / Cahernagat (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.400833 52.155833),22742,6196083
Q85395521,Emlagh West (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.270556 52.135278),22554,6199818
Q85395522,Glanmore (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.159444 52.186944),,
Q85395523,Glanfahan (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.437222 52.103333),22787,4252866
Q85395524,Gortnagullanagh (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.126667 52.140833),22764,6206523
Q85395526,Inishvickillane (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.607778 52.044444),22582,4283721
Q85395528,Kilmalkedar (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.333056 52.188333),22685,6203209
Q85395530,Kinard East (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.194444 52.120556),22724,6197500
Q85395535,Derrygarriv (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.665 51.974444),23379,6263324
Q85395537,Kilcoolaght East / Kilhullicaha (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.747222 52.071944),,6275122
Q85395538,Kilgobnet (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.718889 52.068056),,6271430
Q85395539,Whitefield (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.703056 52.080556),23487,6227080
Q85395540,Dromlusk (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.786667 51.881111),,6264722
Q85395541,Mangerton (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.875 51.858611),,
Q85395543,Dromatouk (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.525833 51.885278),22863,6333226
Q85395546,Lomanagh (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.413611 51.883333),22988,6344027
Q85395548,Cockhill / Kilnaughtin (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.421389 52.566667),,6266577
Q85395549,Cloghanecarhan (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.176944 51.894167),22255,6242965
Q85395550,Dromkeare (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.113611 51.848056),22344,6258135
Q85395551,Killurly (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.301944 51.843333),22072,6231758
Q85395552,Ballinvoher (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.159444 52.186944),,
Q85395554,Brackloon (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.036389 52.146944),22457,6186041
Q85395555,Brandon Mountain (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.159444 52.186944),,
Q85395556,Camp Ogham Site (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.910278 52.215),24660,6155365
Q85395557,Coumeenoole North / Dunmore Head (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.458333 52.111944),22572,4250372
Q85395559,Emlagh East (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.228056 52.133056),22621,6197805
Q85395562,Lugnagappul (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.124722 52.135833),22767,6206135
Q85395564,Maumanorig (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.359444 52.144722),,6201235
Q85395567,Rathmalode / Loughor (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.990556 52.1725),22668,6185916
Q85395570,Curraghmore East (Ogham Site),"Ogham Site, Co. Kerry",Point(-9.621667 52.208611),23611,6343126
Q85395573,Darrynane Beg (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.122222 51.773056),,6257097
Q85395576,Canburrin (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.166667 51.921111),22094,6239630
Q85395579,Cool East / Killeenadreena (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.365556 51.912222),22424,6058809
Q85395582,Kilkeehagh (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.029167 52.031111),22295,6192274
Q85395585,Letter Ogham Site (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.220833 51.923333),22109,4726137
Q85395592,Ballymorereagh (Ogham Site),"Ogham Site, Co. Kerry",Point(-10.3275 52.151389),22607,6201254
