item,itemLabel,itemDescription,no
Q106675496,DRUMM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DRUMM/1
Q106675497,DUNAL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Northern Ireland",DUNAL/1
Q106675498,DUNB/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DUNB/1
Q106675499,DUNB/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DUNB/2
Q106675501,DUNGM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",DUNGM/1
Q106675502,EMLGE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",EMLGE/1
Q106675503,EMLGW/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",EMLGW/1
Q106675504,FARAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",FARAN/1
Q106675505,FIDUP/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",FIDUP/1
Q106675506,FKWOO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",FKWOO/1
Q106675508,FORTW/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",FORTW/1
Q106675509,FOXCA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",FOXCA/1
Q106675510,GAMIL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GAMIL/1
Q106675511,GAMIL/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GAMIL/2
Q106675512,GARES/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GARES/1
Q106675513,GEARS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GEARS/1
Q106675514,GLEBE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLEBE/1
Q106675515,GLEBE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLEBE/2
Q106675516,GLEBE/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLEBE/3
Q106675517,GLEWI/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLEWI/1
Q106675518,GLEWI/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLEWI/2
Q106675519,GLHAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLHAN/1
Q106675723,GLINS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLINS/1
Q106675522,GLLOG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLLOG/1
Q106675523,GLNMO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLNMO/1
Q106675524,GLSHS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GLSHS/1
Q106675525,GORGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GORGH/1
Q106675526,GOUR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GOUR/1
Q106675527,GOWRN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GOWRN/1
Q106675528,GRANG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GRANG/1
Q106675529,GRENL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GRENL/1
Q106675530,GRENL/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GRENL/2
Q106675531,GRISL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GRISL/1
Q106675532,GRMGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GRMGH/1
Q106675533,GRTMA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GRTMA/1
Q106675534,GURAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",GURAN/1
Q106675535,HLAND/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",HLAND/1
Q106675536,HTOWN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",HTOWN/1
Q106675538,INAGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",INAGH/1
Q106675539,INCHA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",INCHA/1
Q106675540,INVIC/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",INVIC/1
Q106675541,ISLAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ISLAN/1
Q106675542,KEELW/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KEELW/1
Q106675543,KEENH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KEENH/1
Q106675544,KFNTN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KFNTN/1
Q106675545,KILEG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KILEG/1
Q106675546,KILMA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KILMA/1
Q106675547,KILTH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KILTH/1
Q106675548,KINET/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KINET/1
Q106675549,KINET/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KINET/2
Q106675550,KLBEG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KLBEG/1
Q106675551,KLBON/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KLBON/1
Q106675552,KLCAS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KLCAS/1
Q106675554,KLCOO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KLCOO/1
Q106675555,KLCOO/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KLCOO/2
Q106675556,KLCOO/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KLCOO/3
