filename|uuid|transliteration|ogham|translation|ciic|o3d|label|townland|barony|geom_found|geom_orig|geom_lastrecorded|webgis
218._Whitefield_IV.xml|6cfbd621e5ed|nan|nan|nan|218|218._Whitefield_IV|CIIC 218. Whitefield IV|Whitefield|Dunkerron North|-9.702644, 52.085442||-6.254558,53.340408|KE057-107004-|
220._Derrynane.xml|fcda557606d0|nan|nan|nan|220|220._Derrynane|CIIC 220. Derrynane|Derrynane|Dunkerron South|-10.120766, 51.763611||-10.121919, 51.764123|KE106-114----|
223._Parknasilla.xml|0e9312246e53|nan|nan|nan|223|223._Parknasilla|CIIC 223. Parknasilla|Parknasilla|Derryquin|-9.867312, 51.822169||-6.254558,53.340408|DU018-365----|
230._Cloghanecarhan.xml|934510598685|nan|nan|nan|230|230._Cloghanecarhan|CIIC 230. Cloghanecarhan|Cloghanecarhan|Iveragh|-10.183738, 51.888405|||KE089-011001-|
241._Kilbonane.xml|dbe145fdb9da|nan|nan|nan|241|241._Kilbonane|CIIC 241. Kilbonane|Kilbonane|Magunihy|-9.668483, 52.084366||-9.634923, 52.06042|KE057-078002-|
242._Parkavonear.xml|2e58bb1d2792|nan|nan|nan|242|242._Parkavonear|CIIC 242. Parkavonear|Parkavonear|Magunihy|-9.554751, 52.076337||-9.554356, 52.076795|KE066-016005-|
252._Gurrane.xml|1a3470171199|nan|nan|nan|252|252._Gurrane|CIIC 252. Gurrane|Garraundarragh|Trughanacmy|-9.569440, 52.212276||-6.254558,53.340408|KE039-148----|
253._Killorglin.xml|3fd409bb96b5|nan|nan|nan|253|253._Killorglin|CIIC 253. Kilorglin|Killorglin|Trughanacmy|-9.778697, 52.106495||-6.254558,53.340408|DU018-393----|
255._Tinnahally_I.xml|6986dce35d72|nan|nan|nan|255|255._Tinnahally_I|CIIC 255. Tinnahally I|Tinnahally|Trughanacmy|-9.749639, 52.126506||-7.293674, 53.299424|KE057-105001-|
256._Tinnahally_II.xml|3e7f3345e7c3|nan|nan|nan|256|256._Tinnahally_II|CIIC 256. Tinnahally II|Tinnahally|Trughanacmy|-9.749639, 52.126506||-6.254558,53.340408|KE057-105002-|
263._Ardmore_I.xml|691206779011|nan|nan|nan|263|263._Ardmore_I|CIIC 263. Ardmore I|Ardmore|Ardocheasty|-7.725680, 51.948752||-7.725916, 51.948800|WA040-008005-|
